Event DM1_gen DM1_reco DM2_gen DM2_reco Higgs_Charge_gen Higgs_D0_gen Higgs_DZ_gen Higgs_E_gen Higgs_Eta_gen Higgs_IsPU_gen Higgs_Mass_gen Higgs_PID_gen Higgs_PT_gen Higgs_Phi_gen MET_Phi_gen MET_Phi_reco MET_PT_gen MET_PT_reco METcov_xx_reco METcov_xy_reco METcov_yy_reco channel_gen channel_reco jet1_Eta_gen jet1_Eta_reco jet1_Mass_gen jet1_Mass_reco jet1_PT_gen jet1_PT_reco jet1_Phi_gen jet1_Phi_reco jet2_Eta_gen jet2_Eta_reco jet2_Mass_gen jet2_Mass_reco jet2_PT_gen jet2_PT_reco jet2_Phi_gen jet2_Phi_reco tau1_Charge_gen tau1_Charge_reco tau1_D0_gen tau1_DZ_gen tau1_E_gen tau1_Eta_gen tau1_Eta_reco tau1_IsPU_gen tau1_Mass_gen tau1_Mass_reco tau1_PID_gen tau1_PT_gen tau1_PT_reco tau1_Phi_gen tau1_Phi_reco tau2_Charge_gen tau2_Charge_reco tau2_D0_gen tau2_DZ_gen tau2_E_gen tau2_Eta_gen tau2_Eta_reco tau2_IsPU_gen tau2_Mass_gen tau2_Mass_reco tau2_PID_gen tau2_PT_gen tau2_PT_reco tau2_Phi_gen tau2_Phi_reco
21 3prong0pi0 None 1prong1pi0 3prong0pi0 0 0.0 0.0 151.266357422 1.19703269005 0 125.0 25 47.1630363464 1.74210882187 -1.53359615803 -1.33216536045 7.72602272034 16.0781555176 0.0725790803169 0.000417811309806 0.0774438497381 tt et None 1.15503120422 None 3.33456039429 None 43.1501274109 None 2.92184710503 None None None None None None None None -1 1 0.0 0.0 56.0673294067 -0.130120366812 0.820081651211 0 1.77681994438 None 15 55.5680847168 42.3748168945 0.639627456665 -0.926053643227 1 -1 0.0 0.0 95.1990203857 1.16129362583 -0.111202597618 0 1.77681994438 0.880313932896 -15 54.2791862488 30.9324913025 2.89396166801 0.637372493744
22 1prong2pi0 1prong1pi0 1prong3pi0 1prong2pi0 0 0.0 0.0 351.379638672 0.975545704365 0 125.0 25 216.790298462 1.14739882946 -2.15433239937 -2.14061498642 169.611480713 173.143798828 0.112444798667 -0.0310006640616 0.11276337622 tt tt None None None None None None None None None None None None None None None None 1 1 0.0 0.0 192.661529541 0.853414535522 0.860901355743 0 1.77681994438 1.58850347996 -15 138.91897583 132.462982178 0.685460209846 0.68583458662 -1 -1 0.0 0.0 158.718109131 0.893623769283 0.895165741444 0 1.77681994438 1.10966455936 15 111.251556396 63.7857513428 1.7375934124 1.7313297987
23 1prong0pi0 1prong2pi0 1prong2pi0 1prong1pi0 0 0.0 0.0 154.553909302 0.259909927845 0 125.0 25 87.909034729 -2.66158056259 3.07991838455 2.98054599762 62.8033103943 52.4686050415 0.0812128342368 0.00508193964213 0.099068950003 tt tt -4.01433467865 -4.01433467865 5.34115791321 5.34115791321 69.1972122192 69.1972122192 -0.086322426796 -0.086322426796 None None None None None None None None 1 -1 0.0 0.0 100.570030212 0.0322865322232 0.390868008137 0 1.77681994438 1.59284520149 -15 100.501945496 52.2121429443 3.09905767441 -1.1041611433 -1 1 0.0 0.0 53.9838752747 0.38623264432 0.0448696129024 0 1.77681994438 3.81796336174 15 50.1660995483 47.3719749451 -1.10711050034 3.09911632538
24 None None 1prong2pi0 5prong3pi0 0 0.0 0.0 281.165771484 1.96766626835 0 125.0 25 69.0595932007 0.97862046957 0.023429511115 -0.302080124617 22.6620597839 38.8819198608 0.114441613784 -0.0035090889202 0.0815594391146 et et 1.95416462421 1.95416462421 6.4403295517 6.4403295517 89.7604217529 89.7604217529 -2.0344414711 -2.0344414711 None None None None None None None None -1 -1 0.0 0.0 81.4438552856 0.771367847919 0.775213360786 0 1.77681994438 None 15 62.0352668762 37.9547462463 -0.0218448285013 -0.0354748815298 1 1 0.0 0.0 199.721908569 1.81805837154 1.81036996841 0 1.77681994438 10.3351392746 -15 63.1783676147 79.0970916748 1.95146930218 1.99048173428
25 1prong1pi0 1prong2pi0 1prong0pi0 1prong0pi0 0 0.0 0.0 313.183197021 -1.38271200657 0 125.0 25 135.5599823 0.917218506336 1.22722101212 0.532135128975 35.1665992737 28.408033371 0.125458399329 -0.0132412715581 0.135476863816 tt tt -2.91566896439 -2.91566896439 7.81229877472 7.81229877472 98.317817688 98.317817688 3.09235048294 3.09235048294 2.73379516602 2.73379516602 7.24736356735 7.24736356735 87.9669036865 87.9669036865 -1.9868708849 -1.9868708849 -1 -1 0.0 0.0 232.040634155 -1.45955455303 -1.41348218918 0 1.77681994438 15.7408399582 15 102.299079895 78.0006484985 1.42210483551 1.4093953371 1 1 0.0 0.0 81.1425704956 -0.62301003933 -0.624485969543 0 1.77681994438 2.98067831993 -15 67.5783920288 65.8089065552 0.0956289768219 0.0905431881547
26 1prong1pi0 3prong2pi0 1prong1pi0 5prong1pi0 0 0.0 0.0 275.511962891 0.595891773701 0 125.0 25 207.567825317 2.83590865135 3.07901072502 3.03101658821 63.1600379944 59.8359527588 0.116673908399 0.0235686247429 0.184640769157 tt tt 3.19155740738 3.19155740738 6.80575752258 6.80575752258 109.003395081 109.003395081 -0.80127543211 -0.80127543211 -1.97872495651 -1.97872495651 13.1347198486 13.1347198486 95.751625061 95.751625061 0.15057644248 0.15057644248 1 1 0.0 0.0 210.863372803 0.62798088789 0.623851895332 0 1.77681994438 9.68025302887 -15 175.16645813 112.499031067 3.12108826637 3.1220369339 -1 -1 0.0 0.0 64.6485900879 0.216294959188 0.225800171494 0 1.77681994438 5.51065683365 15 63.1414146423 66.7256011963 1.94050252438 1.94290971756
27 None None 1prong0pi0 7prong2pi0 0 0.0 0.0 414.034667969 -1.39747619629 0 125.0 25 183.921936035 1.56613171101 1.56396079063 1.56544053555 137.397872925 154.588226318 0.132075946571 -0.00129825224439 0.0810004759512 et et -1.76339745522 -1.76339745522 12.6478157043 12.6478157043 99.5686187744 99.5686187744 -1.70252120495 -1.70252120495 0.739111423492 -1.20487618446 9.80905151367 6.9815955162 73.7437973022 36.2195510864 -1.3337546587 -2.77376389503 -1 -1 0.0 0.0 346.413787842 -1.17905306816 -1.16836559772 0 1.77681994438 None 15 194.674041748 47.4777908325 1.68683350086 1.68790340424 1 1 0.0 0.0 67.6208953857 -1.64183294773 0.739111423492 0 1.77681994438 9.80905151367 -15 25.2311916351 73.7437973022 -0.383682012558 -1.3337546587
28 None None 1prong2pi0 3prong2pi0 0 0.0 0.0 142.104309082 1.36485815048 0 125.0 25 32.4135246277 -3.11584448814 -2.61345553398 2.64536762238 14.3861227036 26.1936244965 0.0756150552095 0.00246490658857 0.0741876102111 et et -0.299246460199 -0.299246460199 7.77586555481 7.77586555481 39.5492630005 39.5492630005 -0.715127050877 -0.715127050877 None None None None None None None None 1 1 0.0 0.0 55.39402771 -0.18930760026 -0.194936096668 0 1.77681994438 None -15 54.3880500793 28.0650348663 -1.93709421158 -1.95178627968 -1 -1 0.0 0.0 86.7102813721 1.10884439945 1.10924112797 0 1.77681994438 2.15439319611 15 51.5902366638 34.6344070435 1.82398760319 1.84810972214
29 None None 1prong1pi0 3prong1pi0 0 0.0 0.0 152.345626831 -0.851076006889 0 125.0 25 62.8988380432 -2.89587783813 -2.96708345413 2.74774265289 32.6278305054 28.1019287109 0.0766382500935 0.0056830727997 0.0909262241085 mt mt 3.17771267891 -0.0282242577523 12.9520025253 1.93856465816 71.1740112305 25.8063602448 -0.310277491808 2.37491607666 -0.0282242577523 None 1.93856465816 None 25.8063602448 None 2.37491607666 None 1 1 0.0 0.0 91.6048660278 -0.197834819555 -0.195727437735 0 1.77681994438 None -15 89.8240966797 47.2560577393 2.92858982086 2.91450834274 -1 -1 0.0 0.0 60.7407569885 -0.8623265028 -0.876097857952 0 1.77681994438 2.6239156723 15 43.509967804 29.1106586456 -0.907655239105 -0.881135642529
30 None None None None 0 0.0 0.0 392.950408936 -3.18265247345 0 125.0 25 30.8493824005 2.21350097656 1.90340733528 2.14602160454 28.3860454559 29.379940033 0.0737445258569 0.00248967088936 0.0707921885178 em em None -1.51392579079 None 2.04059243202 None 45.5214080811 None -1.05299580097 None None None None None None None None -1 -1 0.0 0.0 246.838989258 -1.89437496662 -1.9100663662 0 1.77681994438 None 15 72.6105880737 22.3356208801 1.43757474422 1.41592180729 1 1 0.0 0.0 146.111434937 -1.63240337372 -1.6196886301 0 1.77681994438 None -15 55.0117492676 34.3209838867 -2.10764479637 -2.08754658699
